fraction,n_train,model,rmse,mae,cv_rmse,rmsle,train_seconds
0.1,578496,ridge,6064.905468094351,674.1052819115595,8.036007444805316,1.8000138135334809,0.8
0.1,578496,lightgbm,5859.32668458875,202.8538929250887,7.763615295671932,0.7153170426762967,20.4
0.1,578496,mlp,13973.47537667685,848.3766181808985,18.514872613845007,1.576949075266419,26.9
0.25,1446242,ridge,8329.181773986535,720.7648266953174,11.03617642467948,1.9015215959194258,1.8
0.25,1446242,lightgbm,14797.087422863167,470.3319148470813,19.606159620642195,0.7076656415231146,37.1
0.25,1446242,mlp,9862.606647723707,613.2924158789181,13.06796632911033,1.3816506447258323,39.8
0.5,2892484,ridge,8877.864606837147,721.9206367852929,11.763181874775936,1.7562760508047157,3.2
0.5,2892484,lightgbm,4961.747477861492,205.1146782408541,6.574321707254458,0.682575333567252,140.1
0.5,2892484,mlp,8068.02240122668,487.14452038262874,10.690139924222976,1.2632976778159328,66.2
0.75,4338726,ridge,6382.208736948131,676.2203978133323,8.456434678862639,1.7293633251498377,5.1
0.75,4338726,lightgbm,5229.905332414364,204.1435363568894,6.929631204971493,0.682319483924619,185.6
0.75,4338726,mlp,7285.165093146721,428.69989355310366,9.652852997156081,1.0791554395214649,160.9
1.0,5784969,ridge,6429.358781868411,676.5882205436113,8.518908548240413,1.7334655196897188,6.5
1.0,5784969,lightgbm,5634.93047564009,204.25576054290633,7.466290033937207,0.6750546444275254,379.5
1.0,5784969,mlp,7830.075324553162,330.53205665754746,10.37485974554958,0.89243618315395,302.0
