model,engineered,raw,delta,pct_improvement
random_forest,4314.850354358425,30833.66681246097,26518.81645810255,86.00604209482266
decision_tree,4990.566720971184,30844.880786422236,25854.314065451053,83.82043764238503
lightgbm,5721.912951951825,28951.04494827042,23229.131996318596,80.23590180535552
lasso,6232.327200615762,7046.342830775386,814.0156301596235,11.552313727971828
mlp,10068.625829155568,11251.593014059776,1182.9671849042095,10.513775102121064
elasticnet,6379.182566127198,7045.860281252125,666.6777151249271,9.461977508961493
ols,6428.9485497618925,7032.9220416565795,603.973491894687,8.587803025787887
ridge,6429.358781857664,7032.923278780356,603.5644969226914,8.581986081715954
baseline_lag_24h,6444.764035868623,6443.48085283166,-1.283183036963237,-0.019914438581738438
baseline_meter_mean,39627.43906558463,39618.20350444279,-9.235561141838843,-0.023311408203562704
