model,family,rmse,cv_rmse,mae,rmsle,train_seconds
arima,time_series,983.8060443986285,2.2908629080324254,275.86088390403063,0.0,54.0276139589987
random_forest,trees,4314.850354358425,5.717182197357496,145.9762458865223,0.6876688768228953,918.490913
decision_tree,trees,4990.566720971184,6.612507240961697,176.39017063913937,0.7357569218037286,92.710856
lightgbm,trees,5721.912951951825,7.581541925477131,200.7391547282241,0.6764924306378077,283.0
lasso,linear,6232.327200615762,8.257841452943122,674.4471574000089,1.737233855365448,10.612549
elasticnet,linear,6379.182566127198,8.452424998683087,676.2090611520973,1.733405511666104,52.941347
ols,linear,6428.9485497618925,8.518364990178474,676.5857584030673,1.733468730360297,3.812806
ridge,linear,6429.358781857664,8.518908548226173,676.5882205434375,1.7334655196901405,10.823676
baseline_lag_24h,baseline,6444.764035868623,8.539320529348128,193.7161046640796,0.9081724449366313,0.0
mlp,neural,10068.625829155568,13.340942006055107,382.5678710119831,0.8910167305703858,307.0
lstm,time_series,19125.476705350917,18.766240646828575,729.7120033892525,1.39646,468.1577274159936
baseline_meter_mean,baseline,39627.43906558463,52.506407070127985,1690.4421201370196,1.4510982833908146,0.0
