model,family,rmse,cv_rmse,mae,train_seconds
ols,linear,7032.9220416565795,9.314006867248063,679.0333744418871,0.5679052079794928
ridge,linear,7032.922165646358,9.314007031453158,679.0333751514486,1.6495439159916714
elasticnet,linear,7045.860281252125,9.331141544943796,683.7370292949394,2.627037957950961
lasso,linear,7046.342830775386,9.331780606424475,684.0085259953223,1.1560532090370543
mlp,neural,11251.593014059777,14.900977713062838,712.0377178783656,0.0
lightgbm,trees,28951.04494827042,38.341137562031456,1050.1727718110842,0.0
random_forest,trees,30833.66681246097,40.834376199918005,1108.0874281027025,107.53422904101899
decision_tree,trees,30844.880786422236,40.84922735707085,1098.6213239474114,7.308535958989523
baseline_lag_24h,baseline,83940.94916782975,76.36411718496838,614.2867647094427,0.0
baseline_meter_mean,baseline,173420.5792612281,157.76697271449157,6065.543772201727,0.0
