building_id,meter,cluster
156,0,3
157,0,2
158,0,2
159,0,3
160,0,2
161,0,3
161,1,0
162,0,2
162,1,0
163,0,3
163,1,2
163,3,1
164,0,2
165,0,4
166,0,3
166,1,3
166,3,1
167,0,3
167,1,3
167,3,1
168,0,3
168,1,2
168,3,3
169,0,3
169,1,2
169,3,3
170,0,2
170,1,0
171,0,2
171,1,0
171,3,1
172,0,3
172,1,2
173,0,3
173,1,3
174,0,3
174,1,3
175,0,2
175,1,2
175,3,1
176,0,2
176,1,0
176,3,0
177,0,3
177,1,2
177,3,1
178,0,1
178,1,2
179,0,2
179,1,2
179,3,1
180,0,3
180,1,3
181,0,3
181,1,2
182,0,4
183,0,2
183,1,0
183,3,1
184,0,2
184,1,2
184,3,3
185,0,2
186,0,2
187,0,0
187,1,0
187,3,0
188,0,3
188,1,3
189,0,2
189,1,2
190,0,3
190,1,2
190,3,1
191,0,2
191,1,0
191,3,1
192,0,3
192,1,3
192,3,3
193,0,2
194,0,1
194,1,0
195,0,2
195,1,3
195,3,3
196,0,3
197,0,2
197,1,0
198,0,2
198,1,2
199,0,3
200,0,2
200,1,2
200,3,2
201,0,3
201,1,2
201,3,1
202,0,3
202,1,3
202,3,3
203,0,3
203,1,3
203,3,3
204,0,3
204,1,3
205,0,3
205,1,3
206,0,3
206,1,2
206,3,1
207,0,3
207,1,2
208,0,2
208,1,2
209,0,3
209,1,3
209,3,3
210,0,3
210,1,2
210,3,1
211,0,3
212,0,3
212,1,3
212,3,3
213,0,3
213,1,3
213,3,3
214,0,3
214,1,2
215,0,3
215,1,3
215,3,1
216,0,2
216,1,0
216,3,2
217,0,2
217,1,0
217,3,1
218,0,3
219,0,3
219,1,3
220,0,3
220,1,3
220,3,1
221,0,3
221,1,3
221,3,1
222,0,3
222,1,2
223,0,3
224,0,2
224,1,2
224,3,1
225,0,3
225,1,3
225,3,3
226,0,2
226,1,0
226,3,2
227,0,2
228,0,3
228,1,3
228,3,2
229,0,1
229,1,2
230,0,3
231,0,3
231,1,3
232,0,3
232,3,1
233,0,2
233,1,0
234,0,3
234,1,2
234,3,3
235,0,3
235,1,2
236,0,2
236,1,0
236,3,1
237,0,2
237,1,2
238,0,3
238,1,2
239,0,3
239,1,3
239,3,1
240,0,3
240,1,3
240,3,1
241,0,3
