primary_use,decision_tree,elasticnet,lasso,lightgbm,mlp,ols,random_forest,ridge
Education,8360.296332608108,9463.350783880836,9913.422887661362,9540.304994751925,16848.82035861924,9701.501547389871,7229.567744395944,9701.50819157689
Entertainment/public assembly,294.61766648438334,725.6251411768548,726.1917972446888,293.0343016649882,333.0146874869867,685.5674630893857,280.9505288542896,685.568025968071
Food sales and service,299.99650211079825,800.2524987299131,800.5189529455157,340.4743311946448,544.9618754536233,798.9759891149274,291.40452825531645,798.9759716082964
Healthcare,522.2078399053936,2001.0266133900507,2004.544485011941,505.5937297785359,674.391456728883,1918.2403492698897,436.7880631969163,1918.2420290727443
Lodging/residential,685.8483523825485,1876.0792163616309,1876.491615059313,710.1203300766928,959.548019973188,1854.9911195391915,665.2591602605576,1854.9913781226805
Manufacturing/industrial,212.8112890231284,653.3914991524224,654.0480849088647,194.39266860784178,238.22700312149675,646.3508694408318,191.83024865467536,646.3507044275202
Office,819.0694267349144,4110.602994538983,4111.35673448709,1069.8531243078828,1906.7943369172183,4043.1892198431215,684.055010528022,4043.1907559041856
Other,42.660529588328615,206.16027841216274,206.0507667525489,40.21218318187008,115.40566542918725,208.27143000941203,38.37041031217959,208.27133806466983
Parking,199.65311959555322,1065.281730087512,1064.8815255229565,245.69407192426354,278.8461378509671,994.6049455928443,175.9556966636052,994.6061864606062
Public services,636.9911255383863,2131.4661619552585,2134.296933678688,619.025522734003,943.5378951815816,2058.456070226988,553.4520533034301,2058.457562292597
Religious worship,0.7452643630793583,1.524022500063247,1.524022500063247,0.715265141563296,1.131022120609292,1.524022500063247,0.6921340866851652,1.524022500063247
Retail,21.894556712637012,40.575732913368284,40.53031971393191,19.62980657207914,27.767220786251634,42.544329570869145,20.010674444905582,42.54438530655633
Services,2367.985725414957,18852.886973678556,18853.580344434824,7683.410588880467,9388.050573997814,18849.94473424417,1602.6213001032484,18849.944683233804
Technology/science,7.114314423645016,35.897722122542106,35.51654790194183,6.9480218385156425,16.121623689171567,46.72292936517843,6.349481119167411,46.72287903383331
Utility,218.4938564082659,680.9644911625168,681.5410664591766,155.36392386340464,224.4500537275082,687.4029873708613,194.81986289717526,687.4031361708868
Warehouse/storage,21.81974547718134,74.54708412993035,74.53443344414617,20.038531453626963,41.25184881411587,75.62875276924534,20.877335095771272,75.62871303425807
