primary_use,decision_tree,elasticnet,lasso,lightgbm,mlp,ols,random_forest,ridge
Education,51955.360665316526,10824.831922345507,10825.062303715116,48763.6360887131,18709.018825611987,10817.97925025173,51934.78882702506,10817.979305753075
Entertainment/public assembly,401.0376946191473,715.1510084640144,716.526437315646,415.3985817495166,479.1554711739172,686.9077435443288,401.55930993370384,686.9078444746505
Food sales and service,598.7310891962585,800.4974572935836,800.7578346978459,610.9288024285661,660.0114945959614,796.5698661945229,616.8564677905242,796.5698450280397
Healthcare,1369.5090453799087,2045.0803903544781,2046.5186656945302,785.9200102996489,1553.1464220881894,2008.8779921510402,1314.2475503949213,2008.878264699067
Lodging/residential,1063.5330835467953,1870.6527782485066,1871.5508108111082,1237.0853647875276,1435.085430578652,1851.6161299329972,1126.8006910766899,1851.616240948417
Manufacturing/industrial,225.04633287541526,651.1298387428172,651.8441582508458,263.47388987008964,509.53922594805766,642.1761605188435,262.16930460713843,642.1761398012106
Office,1137.5889232336751,4101.474321493778,4102.951569555176,1112.8396090007068,2385.4957824786775,4060.377601474207,1114.760031529463,4060.3780611629004
Other,137.93002287672363,199.62649207206067,199.74584593855715,136.21253785098264,143.99180498168448,197.71762563970972,142.56129007283653,197.7175916373833
Parking,322.0141787756839,1026.7934505604574,1029.3479865345228,335.41898854686144,659.8669639988213,964.0175923222016,324.58367033779706,964.0180073616643
Public services,857.3901640389133,2161.4613605361465,2162.983335465332,843.1584675410911,1253.067366690447,2132.0842074783995,858.735475082055,2132.0844595362646
Religious worship,0.9473491320345252,1.6285093722081945,1.6428274077825418,1.0223972259647565,1.1267054156493168,0.915632480117777,0.9563792202463306,0.9156330379415085
Retail,26.575316968457074,46.13355358550144,46.24845359047318,26.56528071905235,39.3979461827037,45.544063278997804,31.997493384570607,45.54406124997094
Services,14456.127054474568,18857.06706962254,18857.475261900763,13654.117753439132,14043.643562890356,18854.427349493126,14809.03802934642,18854.427325946883
Technology/science,14.26203856632338,24.27483048162318,24.62967159548865,15.03126110566375,19.86959055916333,28.787211734235058,23.455872801188278,28.787207554088734
Utility,198.4914696134606,695.0521896183916,694.9550612722035,242.40865950925223,317.4144593935295,700.0864212101983,197.82700580065784,700.0863829115871
Warehouse/storage,27.807491041887744,80.06863029633736,79.87359465262666,25.47481634656576,26.93103432208358,78.19377190811069,28.60878963520363,78.19375697835015
