model,group_kind,metric,value
ols,primary_use,rmse,1.524022500063247
ols,primary_use,rmse,42.544329570869145
ols,primary_use,rmse,46.72292936517843
ols,primary_use,rmse,75.62875276924534
ols,primary_use,rmse,208.27143000941203
ols,primary_use,rmse,646.3508694408318
ols,primary_use,rmse,685.5674630893857
ols,primary_use,rmse,687.4029873708613
ols,primary_use,rmse,798.9759891149274
ols,primary_use,rmse,994.6049455928443
ols,primary_use,rmse,1854.9911195391915
ols,primary_use,rmse,1918.2403492698897
ols,primary_use,rmse,2058.456070226988
ols,primary_use,rmse,4043.1892198431215
ols,primary_use,rmse,9701.501547389871
ols,primary_use,rmse,18849.94473424417
ols,meter,rmse,247.5346119320269
ols,meter,rmse,574.2892870171446
ols,meter,rmse,3754.1384483227507
ols,meter,rmse,16477.96328567941
ols,site,rmse,200.51206056933123
ols,site,rmse,283.9441166821843
ols,site,rmse,1449.6940326154804
ols,site,rmse,11361.767360132075
ridge,primary_use,rmse,1.524022500063247
ridge,primary_use,rmse,42.54438530655633
ridge,primary_use,rmse,46.72287903383331
ridge,primary_use,rmse,75.62871303425807
ridge,primary_use,rmse,208.27133806466983
ridge,primary_use,rmse,646.3507044275202
ridge,primary_use,rmse,685.568025968071
ridge,primary_use,rmse,687.4031361708868
ridge,primary_use,rmse,798.9759716082964
ridge,primary_use,rmse,994.6061864606062
ridge,primary_use,rmse,1854.9913781226805
ridge,primary_use,rmse,1918.2420290727443
ridge,primary_use,rmse,2058.457562292597
ridge,primary_use,rmse,4043.1907559041856
ridge,primary_use,rmse,9701.50819157689
ridge,primary_use,rmse,18849.944683233804
ridge,meter,rmse,247.5337367121451
ridge,meter,rmse,574.289436624369
ridge,meter,rmse,3754.1384520731863
ridge,meter,rmse,16477.97422177364
ridge,site,rmse,200.5121656874687
ridge,site,rmse,283.94395482009764
ridge,site,rmse,1449.6945116618779
ridge,site,rmse,11361.774284149542
lasso,primary_use,rmse,1.524022500063247
lasso,primary_use,rmse,35.51654790194183
lasso,primary_use,rmse,40.53031971393191
lasso,primary_use,rmse,74.53443344414617
lasso,primary_use,rmse,206.0507667525489
lasso,primary_use,rmse,654.0480849088647
lasso,primary_use,rmse,681.5410664591766
lasso,primary_use,rmse,726.1917972446888
lasso,primary_use,rmse,800.5189529455157
lasso,primary_use,rmse,1064.8815255229565
lasso,primary_use,rmse,1876.491615059313
lasso,primary_use,rmse,2004.544485011941
lasso,primary_use,rmse,2134.296933678688
lasso,primary_use,rmse,4111.35673448709
lasso,primary_use,rmse,9913.422887661362
lasso,primary_use,rmse,18853.580344434824
lasso,meter,rmse,238.70461440008725
lasso,meter,rmse,586.8817936067652
lasso,meter,rmse,3761.0513360890186
lasso,meter,rmse,16837.879492967746
lasso,site,rmse,225.71282453435356
lasso,site,rmse,281.15742491929853
lasso,site,rmse,1475.3327718448818
lasso,site,rmse,11591.071896509644
elasticnet,primary_use,rmse,1.524022500063247
elasticnet,primary_use,rmse,35.897722122542106
elasticnet,primary_use,rmse,40.575732913368284
elasticnet,primary_use,rmse,74.54708412993035
elasticnet,primary_use,rmse,206.16027841216274
elasticnet,primary_use,rmse,653.3914991524224
elasticnet,primary_use,rmse,680.9644911625168
elasticnet,primary_use,rmse,725.6251411768548
elasticnet,primary_use,rmse,800.2524987299131
elasticnet,primary_use,rmse,1065.281730087512
elasticnet,primary_use,rmse,1876.0792163616309
elasticnet,primary_use,rmse,2001.0266133900507
elasticnet,primary_use,rmse,2131.4661619552585
elasticnet,primary_use,rmse,4110.602994538983
elasticnet,primary_use,rmse,9463.350783880836
elasticnet,primary_use,rmse,18852.886973678556
elasticnet,meter,rmse,238.04386483608565
elasticnet,meter,rmse,586.379960164528
elasticnet,meter,rmse,3760.818286727561
elasticnet,meter,rmse,16169.885117638174
elasticnet,site,rmse,224.33194058109248
elasticnet,site,rmse,280.8787736848655
elasticnet,site,rmse,1474.4392456867683
elasticnet,site,rmse,11163.191486719052
decision_tree,primary_use,rmse,0.7452643630793583
decision_tree,primary_use,rmse,7.114314423645016
decision_tree,primary_use,rmse,21.81974547718134
decision_tree,primary_use,rmse,21.894556712637012
decision_tree,primary_use,rmse,42.660529588328615
decision_tree,primary_use,rmse,199.65311959555322
decision_tree,primary_use,rmse,212.8112890231284
decision_tree,primary_use,rmse,218.4938564082659
decision_tree,primary_use,rmse,294.61766648438334
decision_tree,primary_use,rmse,299.99650211079825
decision_tree,primary_use,rmse,522.2078399053936
decision_tree,primary_use,rmse,636.9911255383863
decision_tree,primary_use,rmse,685.8483523825485
decision_tree,primary_use,rmse,819.0694267349144
decision_tree,primary_use,rmse,2367.985725414957
decision_tree,primary_use,rmse,8360.296332608108
decision_tree,meter,rmse,44.231658573215135
decision_tree,meter,rmse,397.033857566909
decision_tree,meter,rmse,4431.850287976623
decision_tree,meter,rmse,12005.819441725334
decision_tree,site,rmse,27.454591050523952
decision_tree,site,rmse,71.03584481122292
decision_tree,site,rmse,505.9466227918664
decision_tree,site,rmse,8875.450217475303
random_forest,primary_use,rmse,0.6921340866851652
random_forest,primary_use,rmse,6.349481119167411
random_forest,primary_use,rmse,20.010674444905582
random_forest,primary_use,rmse,20.877335095771272
random_forest,primary_use,rmse,38.37041031217959
random_forest,primary_use,rmse,175.9556966636052
random_forest,primary_use,rmse,191.83024865467536
random_forest,primary_use,rmse,194.81986289717526
random_forest,primary_use,rmse,280.9505288542896
random_forest,primary_use,rmse,291.40452825531645
random_forest,primary_use,rmse,436.7880631969163
