model,group_kind,metric,value
ols,primary_use,rmse,0.915632480117777
ols,primary_use,rmse,28.787211734235058
ols,primary_use,rmse,45.544063278997804
ols,primary_use,rmse,78.19377190811069
ols,primary_use,rmse,197.71762563970972
ols,primary_use,rmse,642.1761605188435
ols,primary_use,rmse,686.9077435443288
ols,primary_use,rmse,700.0864212101983
ols,primary_use,rmse,796.5698661945229
ols,primary_use,rmse,964.0175923222016
ols,primary_use,rmse,1851.6161299329972
ols,primary_use,rmse,2008.8779921510402
ols,primary_use,rmse,2132.0842074783995
ols,primary_use,rmse,4060.377601474207
ols,primary_use,rmse,10817.97925025173
ols,primary_use,rmse,18854.427349493126
ols,meter,rmse,242.6609833255381
ols,meter,rmse,576.6137280775501
ols,meter,rmse,3757.5325746871413
ols,meter,rmse,18162.89851165115
ols,site,rmse,226.81488683724524
ols,site,rmse,296.07539587515606
ols,site,rmse,1459.7347457745032
ols,site,rmse,12442.588531545607
ridge,primary_use,rmse,0.9156330379415085
ridge,primary_use,rmse,28.787207554088734
ridge,primary_use,rmse,45.54406124997094
ridge,primary_use,rmse,78.19375697835015
ridge,primary_use,rmse,197.7175916373833
ridge,primary_use,rmse,642.1761398012106
ridge,primary_use,rmse,686.9078444746505
ridge,primary_use,rmse,700.0863829115871
ridge,primary_use,rmse,796.5698450280397
ridge,primary_use,rmse,964.0180073616643
ridge,primary_use,rmse,1851.616240948417
ridge,primary_use,rmse,2008.878264699067
ridge,primary_use,rmse,2132.0844595362646
ridge,primary_use,rmse,4060.3780611629004
ridge,primary_use,rmse,10817.979305753075
ridge,primary_use,rmse,18854.427325946883
ridge,meter,rmse,242.66095768238702
ridge,meter,rmse,576.6137117390198
ridge,meter,rmse,3757.532607184001
ridge,meter,rmse,18162.898846276494
ridge,site,rmse,226.81498689921406
ridge,site,rmse,296.07527053541554
ridge,site,rmse,1459.7349613090762
ridge,site,rmse,12442.588732994182
lasso,primary_use,rmse,1.6428274077825418
lasso,primary_use,rmse,24.62967159548865
lasso,primary_use,rmse,46.24845359047318
lasso,primary_use,rmse,79.87359465262666
lasso,primary_use,rmse,199.74584593855715
lasso,primary_use,rmse,651.8441582508458
lasso,primary_use,rmse,694.9550612722035
lasso,primary_use,rmse,716.526437315646
lasso,primary_use,rmse,800.7578346978459
lasso,primary_use,rmse,1029.3479865345228
lasso,primary_use,rmse,1871.5508108111082
lasso,primary_use,rmse,2046.5186656945302
lasso,primary_use,rmse,2162.983335465332
lasso,primary_use,rmse,4102.951569555176
lasso,primary_use,rmse,10825.062303715116
lasso,primary_use,rmse,18857.475261900763
lasso,meter,rmse,246.36899389603815
lasso,meter,rmse,588.8429648526054
lasso,meter,rmse,3761.728654930215
lasso,meter,rmse,18198.21838037019
lasso,site,rmse,233.8034833692178
lasso,site,rmse,287.8937183585274
lasso,site,rmse,1486.8826531062825
lasso,site,rmse,12463.861648074258
elasticnet,primary_use,rmse,1.6285093722081945
elasticnet,primary_use,rmse,24.27483048162318
elasticnet,primary_use,rmse,46.13355358550144
elasticnet,primary_use,rmse,80.06863029633736
elasticnet,primary_use,rmse,199.62649207206067
elasticnet,primary_use,rmse,651.1298387428172
elasticnet,primary_use,rmse,695.0521896183916
elasticnet,primary_use,rmse,715.1510084640144
elasticnet,primary_use,rmse,800.4974572935836
elasticnet,primary_use,rmse,1026.7934505604574
elasticnet,primary_use,rmse,1870.6527782485066
elasticnet,primary_use,rmse,2045.0803903544781
