primary_use,n,rmse,cv_rmse
Education,694452.0,9540.304994751925,11.994161662286208
Office,616371.0,1069.8531243078828,1.348140473136582
Lodging/residential,171347.0,710.1203300766928,1.3103478162553435
Services,13242.0,7683.410588880467,0.9961755068530582
Food sales and service,27125.0,340.4743311946448,0.8913422830783294
Entertainment/public assembly,173208.0,293.0343016649882,0.8747343062492802
Parking,35295.0,245.69407192426354,0.7913393215797906
Public services,107052.0,619.025522734003,0.7660018300540203
Religious worship,2207.0,0.715265141563296,0.5922970769007159
Warehouse/storage,12786.0,20.038531453626963,0.5240659342901149
Healthcare,77894.0,505.5937297785359,0.5199441291068942
Manufacturing/industrial,17656.0,194.39266860784178,0.4829608440769375
Other,8828.0,40.21218318187008,0.35614002919212534
Utility,6622.0,155.36392386340464,0.33613746387696436
Retail,4414.0,19.62980657207914,0.31784469299818296
Technology/science,6623.0,6.9480218385156425,0.07391016864552266
