primary_use,mlp_rmse,lgbm_rmse,n,mlp_over_lgbm
Technology/science,23.92066956378175,6.9480218385156425,6623.0,3.442802875370942
Other,102.97346459561611,40.21218318187008,8828.0,2.560752897446323
Warehouse/storage,47.826168295217336,20.038531453626963,12786.0,2.38671024400647
Utility,321.44356068971695,155.36392386340464,6622.0,2.0689716936624802
Office,2109.8129675765517,1069.8531243078828,616371.0,1.9720585187255937
Public services,1131.352789944594,619.025522734003,107052.0,1.827635127139563
Parking,442.51884870913995,245.69407192426354,35295.0,1.8010969708929268
Healthcare,910.085098167109,505.5937297785359,77894.0,1.8000324065841393
Education,16506.180923919736,9540.304994751925,694452.0,1.730152330874087
Food sales and service,555.565225006832,340.4743311946448,27125.0,1.6317389421325348
Lodging/residential,1122.557003330799,710.1203300766928,171347.0,1.5807982897906376
Services,11665.336423946399,7683.410588880467,13242.0,1.5182497784029174
Manufacturing/industrial,280.1758570130505,194.39266860784178,17656.0,1.4412881875615562
Retail,26.009408537235934,19.62980657207914,4414.0,1.3249956611508824
Entertainment/public assembly,385.41661673764673,293.0343016649882,173208.0,1.3152610958776925
Religious worship,0.9218021900727306,0.715265141563296,2207.0,1.2887559263101003
