model,family,rmse,mae,cv_rmse,rmsle,train_seconds
arima,time_series,1086.8405303757727,440.5977039697339,1.854170062376316,2.231476152343509,2366.460363209
random_forest,trees,4314.850354358425,145.9762458865223,5.717182197357496,0.6876688768228953,918.4909127089995
decision_tree,trees,4990.566720971184,176.39017063913937,6.612507240961697,0.7357569218037286,92.71085641699756
lightgbm,trees,5721.912951951825,200.7391547282241,7.581541925477131,0.6764924306378077,0.0
lasso,linear,6232.327200615762,674.4471574000089,8.257841452943122,1.737233855365448,10.61254908299452
elasticnet,linear,6379.182566127198,676.2090611520973,8.452424998683087,1.733405511666104,52.94134699999995
ols,linear,6428.9485497618925,676.5857584030673,8.518364990178474,1.733468730360297,3.8128057919966523
ridge,linear,6429.358781857664,676.5882205434375,8.518908548226173,1.7334655196901405,10.823675624997122
mlp,neural,10068.625829155568,382.5678710119831,13.340942006055107,0.8910167305703858,0.0
lstm,time_series,19125.476705350917,729.7120033892525,18.766240646828575,1.3964599692319808,468.1577274159936
baseline_lag_24h,baseline,83958.55791608649,614.3554973978462,76.39613734161921,0.9086271174093681,0.0
baseline_meter_mean,baseline,175277.1999002494,6141.8272412953165,159.48941202417046,1.4580142299283971,0.0
