model,family,rmse,mae,cv_rmse,rmsle,train_seconds
ols,linear,7032.9220416565795,679.0333744418871,9.314006867248063,1.759959600949585,0.5679052079794928
ridge,linear,7032.922165646358,679.0333751514486,9.314007031453158,1.7599595670541002,1.6495439159916714
elasticnet,linear,7045.860281252125,683.7370292949394,9.331141544943796,1.7715758078988566,2.627037957950961
lasso,linear,7046.342830775386,684.0085259953223,9.331780606424475,1.7727362744356105,1.1560532090370543
mlp,neural,11251.593014059777,712.0377178783656,14.900977713062838,1.2739863555111262,0.0
lightgbm,trees,28951.04494827042,1050.1727718110842,38.341137562031456,1.0195580100802812,0.0
random_forest,trees,30833.66681246097,1108.0874281027025,40.834376199918005,1.0229119420741686,107.53422904101899
decision_tree,trees,30844.880786422236,1098.6213239474114,40.84922735707085,0.9923493866875647,7.308535958989523
baseline_lag_24h,baseline,83940.94916782975,614.2867647094427,76.36411718496838,0.9088046705788567,0.0
baseline_meter_mean,baseline,173420.5792612281,6065.543772201727,157.76697271449157,1.454062450768128,0.0
