primary_use,n_val,rmse_per_use,rmse_global,delta,pct_improv
Education,694452,8415.310821497636,9530.146501806948,1114.835680309312,11.69799100253008
Services,13242,3651.429742949591,7368.102585152493,3716.672842202902,50.44274016613709
Office,616371,1076.4815533298654,1072.6612714009232,-3.8202819289422223,-0.35614988914001117
Healthcare,77894,855.6166581173244,504.6719393159285,-350.9447188013959,-69.53917811976896
Lodging/residential,171347,690.6390797176163,702.8196757861057,12.180596068489422,1.7331040220047045
Public services,107052,608.5204197464741,608.9737477188357,0.4533279723616488,0.07444129965532621
Food sales and service,27125,441.4783121800288,352.43948318977664,-89.03882899025217,-25.26357949012988
Entertainment/public assembly,173208,281.7274598107368,291.28803021805396,9.560570407317186,3.2821707092324677
Parking,35295,231.71920553939069,246.91352554487574,15.194320005485054,6.153700965532378
Manufacturing/industrial,17656,180.02246541092106,197.18353640625062,17.161070995329567,8.703095252320248
Utility,6622,118.84867491399604,162.2050171876541,43.35634227365807,26.729347233137283
Other,8828,47.47641950941784,38.887147965966314,-8.589271543451524,-22.087687045007204
Retail,4414,18.95223758031682,19.434174188188294,0.4819366078714751,2.4798409400096175
Warehouse/storage,12786,17.753378934153062,20.583592800637298,2.830213866484236,13.74985355518988
Technology/science,6623,5.725708409517853,6.713442996573577,0.9877345870557237,14.71278727710723
Religious worship,2207,0.6953341926926581,0.7204067268212653,0.025072534128607216,3.4803303738205895
