building_id,meter,primary_use,n_rows,mean_kWh,rmse,bias,var_comp
1099,2,Education,2207,32559.496567319464,122512.3034699755,6118.441448942137,122359.42618268212
1088,1,Education,2207,15348.814692009397,36910.61591851349,-4875.142944453776,36587.24571152034
1168,2,Office,2207,42673.028998640686,7556.137277469226,-1999.7497795694298,7286.714717557706
1154,2,Lodging/residential,2207,11099.588928360932,5479.050617303106,-1462.4527326708019,5280.267765149155
1159,2,Office,2207,29802.51169397089,4999.113717930298,-740.3904120917431,4943.98220086617
1148,2,Office,2207,35751.61829592277,4907.228929134611,-950.6915501452861,4814.2581297036795
1197,2,Services,2207,45779.676398072894,3923.6628240375585,-1131.5499157835268,3756.9568462819325
1088,2,Education,2207,13055.37836464941,3707.811751914558,-1242.5826497939088,3493.4018300314165
1258,3,Education,1823,1494.3715953983844,3101.089405511049,-994.0613629459757,2937.447447644104
1107,2,Education,2207,11787.159526048876,2978.411898050955,-986.371094165756,2810.3397479745654
1214,2,Office,2207,6615.173312188491,2975.9080516211257,-901.7375489712877,2836.000374555458
1156,2,Education,2207,12907.232504619535,2870.098687282534,-734.2129697006206,2774.598671855863
1284,1,Education,2208,4113.323812056279,2666.125447523614,-782.9544544158852,2548.5696428081606
1220,2,Public services,2207,5776.161164228874,2386.4067467661125,-971.5555801518383,2179.682755743745
1104,2,Public services,2207,10405.50641402887,2294.8638048747507,-630.9194057546795,2206.4316409910325
1284,2,Education,2208,11638.17443582286,2176.249967838351,-539.4476092229082,2108.3311408363043
1289,2,Education,2208,8849.03423126884,2029.3650089600394,-540.4834207304004,1956.0674864398072
1258,2,Education,2208,6977.029808598044,1913.3363423971603,-438.1274816573401,1862.4983943494665
1072,2,Healthcare,2207,8674.623296021227,1778.2490831480302,-316.41739428951723,1749.8713765039538
1289,1,Education,2208,4513.779899306919,1700.6948226266668,-315.76266250949874,1671.1244180712765
1272,1,Public services,811,1157.9236152687474,1555.7063354422887,-728.9131732078579,1374.3754174385274
1250,2,Education,80,8989.5576171875,1469.0562765935658,-538.8310477726681,1366.6702037269854
1288,2,Education,2169,3054.5986030494196,1401.4123687835056,-377.85242698768644,1349.512567855117
1218,2,Entertainment/public assembly,2207,1824.1957408246492,1383.4911171164645,-585.1621569148932,1253.647845790385
1178,2,Education,2207,2766.9204807324704,1362.4054515462387,-561.4319705620726,1241.34715403617
1290,2,Education,2206,4154.545153786459,1340.822915221337,-339.42491470085713,1297.149496882669
1180,2,Education,2207,2776.3179098111123,1309.4313546185206,-547.7695094831921,1189.3523602947266
1258,1,Education,2208,3965.0472585399084,1297.375884305542,-269.8509241714973,1269.0014436167423
1086,2,Office,2207,5628.412886432463,1296.206431055705,-311.0926795054672,1258.321285152674
1152,2,Office,2207,4134.386535568479,1237.1992702492225,-365.47195951594864,1181.9865824588626
1158,2,Public services,2207,5350.48246372432,1218.7981955618623,-223.7748932873626,1198.0792288655541
1302,3,Office,1620,580.857481558529,1147.816398422561,-504.4427282115239,1031.0286215436765
1305,2,Lodging/residential,1739,316.6698221869471,1119.7113971285376,-263.3167911257078,1088.3096436082894
1200,2,Entertainment/public assembly,2207,2764.0010006210628,1098.331151566866,-324.04425639118756,1049.4411076387662
1255,3,Office,2208,661.3107230023252,976.6086702495891,-243.15930974172147,945.8530778575498
1321,1,Entertainment/public assembly,1456,568.9075334098313,967.5972435086007,-330.3622966560458,909.4532305696567
1290,1,Education,2208,1585.805174264355,967.0422319886605,-283.5828677747758,924.5276824164025
1206,2,Office,2207,3344.6037041232444,960.7600802461944,-235.2490805562057,931.5137153537429
1149,2,Office,1589,1690.2676503426103,942.319791896163,-449.4887102342917,828.2067915509633
1203,2,Lodging/residential,2207,3436.4455384434646,927.5086017315989,-312.2548737726338,873.3665325001539
1091,2,Lodging/residential,2207,5025.3374057937435,918.3887552845001,-327.839437323201,857.8806497226875
1275,1,Office,1804,768.1340684248114,851.3625982333556,-279.2997624004649,804.2449355723006
1288,1,Education,2208,1455.561262573021,842.4611318235683,-228.94027666393868,810.7571204463683
1156,1,Education,2207,612.0541170253222,828.2872943196362,-211.82889034814747,800.7423825083921
1303,2,Healthcare,2208,3425.8749776093855,821.3413372240868,-238.27152302636281,786.0205299785423
1273,1,Office,1264,682.9132282462301,809.8809562212339,-430.56485564235004,685.9453829099679
1321,3,Entertainment/public assembly,2208,788.9611885478531,796.7036978632622,-272.8649630779604,748.5195348910137
1263,2,Education,1943,2635.301632977857,785.2459023405847,-201.23388552097114,759.0230895439294
1235,1,Public services,2208,1778.5375905797102,781.7124934591765,-272.1558948462805,732.8066534431734
1080,2,Education,2207,1284.3635736213964,776.0534599252888,-268.61961362763833,728.0813662198409
